Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/06/17;48;9;5;12;4;5;1;0;2;2;0;2;1;0;2;3;0;;0;0;
2020/06/18;30;3;9;5;5;2;0;0;0;1;0;2;0;0;1;1;0;;1;0;
2020/06/19;40;7;9;2;7;4;1;0;1;0;0;1;0;0;4;3;0;;1;0;
2020/06/20;20;4;7;0;4;1;1;;1;1;0;1;0;0;0;0;0;;0;0;
2020/06/21;17;3;4;3;2;1;0;;1;0;0;1;0;0;2;0;0;;0;0;
2020/06/22;42;5;8;6;9;4;2;1;1;1;1;2;0;0;0;1;0;;1;0;
2020/06/23;53;15;3;5;11;6;0;0;2;2;0;2;0;2;2;3;0;;0;0;
2020/06/24;45;14;6;3;9;2;0;0;2;0;1;2;0;0;3;1;0;;2;0;
2020/06/25;36;9;7;5;5;2;1;2;0;0;1;1;0;0;3;0;0;;0;0;
2020/06/26;38;4;5;5;7;5;1;0;3;1;0;2;0;1;1;3;0;;0;0;
2020/06/27;16;0;1;4;5;0;0;0;0;0;0;1;0;0;4;1;0;;0;0;
2020/06/28;21;5;5;2;3;1;0;0;1;1;0;1;0;0;2;0;0;;0;0;
2020/06/29;48;14;10;8;6;3;0;0;2;3;1;0;1;0;0;0;0;;0;0;
2020/06/30;29;6;3;9;2;1;0;;0;1;0;0;0;1;3;1;0;;2;0;
2020/07/01;26;5;5;4;3;4;1;;1;1;0;0;0;1;1;0;0;;0;0;
2020/07/02;33;5;8;4;6;1;1;1;0;3;1;2;0;0;1;0;0;;0;0;
2020/07/03;33;6;4;4;6;2;1;1;0;1;3;2;0;0;3;0;0;;0;0;
